name,body_part,equipment,gif_url,target,secondary_muscles,instructions,exercise_id
arm slingers hanging straight legs,waist,body weight,https://v2.exercisedb.io/image/mEQFcb6bqxcHdh,abs,"{shoulders,back}","{""Hang from a pull-up bar with your arms fully extended and your legs straight down."",""Engage your core and lift your legs up in front of you until they are parallel to the ground."",""Hold for a moment at the top, then slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""}",2333
arms apart circular toe touch (male),upper legs,body weight,https://v2.exercisedb.io/image/6Zyt8qFSGl0g3q,glutes,"{hamstrings,quadriceps,calves}","{""Stand with your feet shoulder-width apart and arms extended to the sides."",""Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand."",""As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance."",""Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you."",""Continue alternating sides for the desired number of repetitions.""}",3214
arms overhead full sit-up (male),waist,body weight,https://v2.exercisedb.io/image/kv83OouSV2ghSL,abs,"{""hip flexors"",""lower back""}","{""Lie flat on your back with your knees bent and feet flat on the ground."",""Extend your arms overhead, keeping them straight."",""Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright."",""Pause for a moment at the top, then slowly lower your upper body back down to the starting position."",""Repeat for the desired number of repetitions.""}",3204
assisted chest dip (kneeling),chest,leverage machine,https://v2.exercisedb.io/image/bGEaQvPJiPfywX,pectorals,"{triceps,shoulders}","{""Adjust the machine to your desired height and secure your knees on the pad."",""Grasp the handles with your palms facing down and your arms fully extended."",""Lower your body by bending your elbows until your upper arms are parallel to the floor."",""Pause for a moment, then push yourself back up to the starting position."",""Repeat for the desired number of repetitions.""}",9
assisted hanging knee raise,waist,assisted,https://v2.exercisedb.io/image/ruy8ymkcMiQbSz,abs,"{""hip flexors""}","{""Hang from a pull-up bar with your arms fully extended and your palms facing away from you."",""Engage your core muscles and lift your knees towards your chest, bending at the hips and knees."",""Pause for a moment at the top of the movement, squeezing your abs."",""Slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""}",11
assisted hanging knee raise with throw down,waist,assisted,https://v2.exercisedb.io/image/dZBIOChFmaLisd,abs,"{""hip flexors"",""lower back""}","{""Hang from a pull-up bar with your arms fully extended and your palms facing away from you."",""Engage your core and lift your knees towards your chest, keeping your legs together."",""Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully."",""Allow your legs to swing back up and repeat the movement for the desired number of repetitions.""}",10
assisted lying calves stretch,lower legs,assisted,https://v2.exercisedb.io/image/HVnhLEbOofx95Q,calves,{hamstrings},"{""Lie on your back with your legs extended."",""Bend one knee and place your foot flat on the ground."",""Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf."",""Hold the stretch for 20-30 seconds."",""Release the stretch and repeat on the other leg.""}",1708
assisted lying glutes stretch,upper legs,assisted,https://v2.exercisedb.io/image/9Pxi373Mo9ZuI4,glutes,{hamstrings},"{""Lie on your back with your legs extended."",""Bend your right knee and place your right ankle on your left thigh, just above the knee."",""Grasp your left thigh with both hands and gently pull it towards your chest."",""Hold the stretch for 20-30 seconds."",""Release and repeat on the other side.""}",1709
assisted lying gluteus and piriformis stretch,upper legs,assisted,https://v2.exercisedb.io/image/qnSbi6PazRmxjv,glutes,{hamstrings},"{""Lie on your back with your legs extended."",""Bend your right knee and place your right ankle on your left thigh, just above the knee."",""Grasp your left thigh with both hands and gently pull it towards your chest."",""Hold the stretch for 20-30 seconds."",""Release the stretch and repeat on the other side.""}",1710
assisted lying leg raise with lateral throw down,waist,assisted,https://v2.exercisedb.io/image/UyeWOmZAHZuQL6,abs,"{""hip flexors"",obliques}","{""Lie flat on your back with your legs extended and your arms by your sides."",""Place your hands under your glutes for support."",""Engage your abs and lift your legs off the ground, keeping them straight."",""While keeping your legs together, lower them to one side until they are a few inches above the ground."",""Pause for a moment, then lift your legs back to the starting position."",""Repeat the movement to the other side."",""Continue alternating sides for the desired number of repetitions.""}",12
assisted lying leg raise with throw down,waist,assisted,https://v2.exercisedb.io/image/kcJ51p4IQ6DTMx,abs,"{""hip flexors"",quadriceps}","{""Lie flat on your back with your legs extended and your arms by your sides."",""Place your hands under your glutes for support."",""Engage your core and lift your legs off the ground, keeping them straight."",""Raise your legs until they are perpendicular to the ground."",""Lower your legs back down to the starting position."",""Simultaneously, throw your legs down towards the ground, keeping them straight."",""Raise your legs back up to the starting position."",""Repeat for the desired number of repetitions.""}",13
assisted motion russian twist,waist,medicine ball,https://v2.exercisedb.io/image/3l0aXFgySHF8dP,abs,"{obliques,""lower back""}","{""Sit on the ground with your knees bent and feet flat on the floor."",""Hold the medicine ball with both hands in front of your chest."",""Lean back slightly, engaging your abs and keeping your back straight."",""Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body."",""Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body."",""Continue alternating sides for the desired number of repetitions.""}",14
assisted parallel close grip pull-up,back,leverage machine,https://v2.exercisedb.io/image/ZP6UrFrIPWdRYR,lats,"{biceps,forearms}","{""Adjust the machine to your desired weight and height."",""Place your hands on the parallel bars with a close grip, palms facing each other."",""Hang from the bars with your arms fully extended and your feet off the ground."",""Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body."",""Continue pulling until your chin is above the bars."",""Pause for a moment at the top, then slowly lower your body back down to the starting position."",""Repeat for the desired number of repetitions.""}",15
assisted prone hamstring,upper legs,assisted,https://v2.exercisedb.io/image/4ZHHnk8-tp0ifD,hamstrings,"{glutes,""lower back""}","{""Lie face down on a mat or bench with your legs fully extended."",""Have a partner or use a resistance band to secure your ankles."",""Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight."",""Pause for a moment at the top, then slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""}",16
assisted prone lying quads stretch,upper legs,assisted,https://v2.exercisedb.io/image/w38mMOAedA-Qep,quads,"{hamstrings,glutes}","{""Lie face down on the ground with your legs extended."",""Bend your left knee and reach back with your left hand to grab your left foot or ankle."",""Gently pull your left foot towards your glutes, feeling a stretch in your left quad."",""Hold the stretch for 20-30 seconds, then release."",""Repeat with your right leg.""}",1713
assisted prone rectus femoris stretch,waist,assisted,https://v2.exercisedb.io/image/quPfnfXnLCJ1Ik,abs,{quadriceps},"{""Lie face down on the ground with your legs straight."",""Bend your right knee and reach back with your right hand to grab your right foot or ankle."",""Gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh."",""Hold the stretch for 20-30 seconds."",""Release and repeat on the other side.""}",1714
assisted pull-up,back,leverage machine,https://v2.exercisedb.io/image/680gyanlmxi00P,lats,"{biceps,forearms}","{""Adjust the machine to your desired weight and height settings."",""Grasp the handles with an overhand grip, slightly wider than shoulder-width apart."",""Hang with your arms fully extended and your feet off the ground."",""Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body."",""Continue pulling until your chin is above the handles."",""Pause for a moment at the top, then slowly lower your body back down to the starting position."",""Repeat for the desired number of repetitions.""}",17
assisted seated pectoralis major stretch with stability ball,chest,assisted,https://v2.exercisedb.io/image/H6oV2F29pd0Gea,pectorals,"{shoulders,triceps}","{""Sit on a stability ball with your feet flat on the ground and your back straight."",""Hold a stability ball with both hands and extend your arms straight out in front of you."",""Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles."",""Hold the stretch for a few seconds, then slowly return to the starting position."",""Repeat for the desired number of repetitions.""}",1716
assisted side lying adductor stretch,upper legs,assisted,https://v2.exercisedb.io/image/zxtOrEwAobgkKU,adductors,"{hamstrings,glutes}","{""Lie on your side with your legs straight and stacked on top of each other."",""Bend your bottom leg slightly for stability."",""Place your top foot on a stable surface, such as a bench or step."",""Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh."",""Hold the stretch for 20-30 seconds."",""Return to the starting position and repeat on the other side.""}",1712
assisted sit-up,waist,assisted,https://v2.exercisedb.io/image/La5E7go0kMH3tU,abs,"{""hip flexors""}","{""Sit on the edge of a bench or have someone hold your feet down."",""Lie flat on your back with your knees bent and feet flat on the ground."",""Place your hands behind your head with your elbows pointing outwards."",""Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle."",""Pause for a moment at the top, then slowly lower your upper body back down to the starting position."",""Repeat for the desired number of repetitions.""}",1758
assisted standing chin-up,back,leverage machine,https://v2.exercisedb.io/image/IP6-Ap8hrZtl8N,lats,"{biceps,forearms}","{""Adjust the machine to your desired assistance level."",""Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart."",""Keep your chest up and shoulders back, engage your core, and slightly bend your knees."",""Pull your body up by flexing your elbows and driving your elbows down towards your sides."",""Continue pulling until your chin is above the bar."",""Pause for a moment at the top, then slowly lower your body back down to the starting position."",""Repeat for the desired number of repetitions.""}",1431
assisted standing pull-up,back,leverage machine,https://v2.exercisedb.io/image/qNmiDoD743f8MD,lats,"{biceps,forearms}","{""Adjust the machine to your desired weight and height settings."",""Stand facing the machine with your feet shoulder-width apart."",""Grasp the handles with an overhand grip, slightly wider than shoulder-width apart."",""Engage your lats and biceps, and pull yourself up towards the handles."",""Pause for a moment at the top, squeezing your back muscles."",""Slowly lower yourself back down to the starting position."",""Repeat for the desired number of repetitions.""}",1432
assisted standing triceps extension (with towel),upper arms,assisted,https://v2.exercisedb.io/image/teswmtjgKaNRFC,triceps,{shoulders},"{""Stand with your feet shoulder-width apart and hold a towel with both hands behind your head."",""Keep your elbows close to your ears and your upper arms stationary."",""Slowly extend your forearms upward, squeezing your triceps at the top."",""Pause for a moment, then slowly lower the towel back down to the starting position."",""Repeat for the desired number of repetitions.""}",18
assisted triceps dip (kneeling),upper arms,leverage machine,https://v2.exercisedb.io/image/NVB4Pz7RTninmK,triceps,"{chest,shoulders}","{""Adjust the machine to your desired weight and height."",""Kneel down on the pad facing the machine, with your hands gripping the handles."",""Lower your body by bending your elbows, keeping your back straight and close to the machine."",""Pause for a moment at the bottom, then push yourself back up to the starting position."",""Repeat for the desired number of repetitions.""}",19
assisted wide-grip chest dip (kneeling),chest,leverage machine,https://v2.exercisedb.io/image/t87gn3Xh4v0jQK,pectorals,"{triceps,shoulders}","{""Adjust the machine to your desired height and secure your knees on the pad."",""Grasp the handles with a wide grip and keep your elbows slightly bent."",""Lower your body by bending your elbows until your upper arms are parallel to the floor."",""Push yourself back up to the starting position by extending your arms."",""Repeat for the desired number of repetitions.""}",2364
astride jumps (male),cardio,body weight,https://v2.exercisedb.io/image/35SsxK0eYz5vhy,cardiovascular system,"{quadriceps,hamstrings,calves}","{""Stand with your feet shoulder-width apart."",""Bend your knees and lower your body into a squat position."",""Jump explosively upwards, extending your legs and arms."",""While in the air, spread your legs apart and bring your arms out to the sides."",""Land softly with your feet shoulder-width apart, bending your knees to absorb the impact."",""Repeat for the desired number of repetitions.""}",3220
back and forth step,cardio,body weight,https://v2.exercisedb.io/image/0LDXlqrJ8aPLlo,cardiovascular system,"{quadriceps,hamstrings,glutes,calves}","{""Stand with your feet shoulder-width apart."",""Step forward with your right foot, bending your knee and lowering your body into a lunge position."",""Push off with your right foot and step back to the starting position."",""Repeat the movement with your left foot, alternating legs with each step."",""Continue stepping back and forth, maintaining a steady pace."",""Repeat for the desired duration or number of repetitions.""}",3672
back extension on exercise ball,back,stability ball,https://v2.exercisedb.io/image/3lPruzTBdiHUM0,spine,"{glutes,hamstrings}","{""Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface."",""Position your hands behind your head or crossed over your chest."",""Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels."",""Pause for a moment at the top, then slowly lower your upper body back down to the starting position."",""Repeat for the desired number of repetitions.""}",1314
back lever,back,body weight,https://v2.exercisedb.io/image/hQKPBBQuuQ-E0W,upper back,"{biceps,forearms,core}","{""Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart."",""Engage your core and pull your shoulder blades down and back."",""Bend your knees and tuck them towards your chest."",""Slowly lift your legs up, keeping them straight, until your body is parallel to the ground."",""Hold this position for a few seconds, then slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""}",3297
back pec stretch,back,body weight,https://v2.exercisedb.io/image/5Egvt3bMEXy0yv,lats,"{shoulders,chest}","{""Stand tall with your feet shoulder-width apart."",""Extend your arms straight out in front of you, parallel to the ground."",""Cross your arms in front of your body, with your right arm over your left arm."",""Interlock your fingers and rotate your palms away from your body."",""Slowly raise your arms up and away from your body, feeling a stretch in your back and chest."",""Hold the stretch for 15-30 seconds, then release."",""Repeat on the opposite side.""}",1405
backward jump,upper legs,body weight,https://v2.exercisedb.io/image/KLH88im3gVPDMA,quads,"{hamstrings,glutes,calves}","{""Stand with your feet shoulder-width apart."",""Bend your knees slightly and jump backwards, pushing off with both feet."",""Land softly on the balls of your feet, bending your knees to absorb the impact."",""Repeat for the desired number of repetitions.""}",1473
balance board,upper legs,body weight,https://v2.exercisedb.io/image/sq4fPoJfYWDoSb,quads,"{calves,hamstrings,glutes}","{""Place the balance board on a flat surface."",""Step onto the balance board with one foot, ensuring it is centered."",""Slowly shift your weight onto the foot on the balance board, keeping your core engaged."",""Maintain your balance and stability as you hold the position for a desired amount of time."",""Repeat the exercise with the other foot.""}",20
band alternating biceps curl,upper arms,band,https://v2.exercisedb.io/image/seBfkLcUeHOqUI,biceps,{forearms},"{""Stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up."",""Keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top."",""Lower the arm back down to the starting position and repeat with the other arm."",""Continue alternating arms for the desired number of repetitions.""}",968
band alternating v-up,waist,band,https://v2.exercisedb.io/image/HlhoSC7JmqJ9nV,abs,"{""hip flexors""}","{""Lie flat on your back with your legs straight and your arms extended overhead, holding the band."",""Engage your abs and lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes."",""As you lower your legs and upper body back down, switch the position of your legs, crossing one over the other."",""Repeat the movement, alternating the position of your legs with each repetition."",""Continue for the desired number of repetitions.""}",969
band assisted pull-up,back,band,https://v2.exercisedb.io/image/LNxhioroZUEoQn,lats,"{biceps,forearms}","{""Attach the band to a pull-up bar or sturdy anchor point."",""Step onto the band and grip the bar with your palms facing away from you, hands slightly wider than shoulder-width apart."",""Hang with your arms fully extended, keeping your core engaged and your shoulders down and back."",""Pull your body up towards the bar by squeezing your shoulder blades together and driving your elbows down towards your hips."",""Continue pulling until your chin is above the bar, then slowly lower yourself back down to the starting position."",""Repeat for the desired number of repetitions.""}",970
band assisted wheel rollerout,waist,band,https://v2.exercisedb.io/image/b-WhXrrEz8XV9C,abs,"{""lower back""}","{""Kneel on the floor and hold the handles of the band with both hands, palms facing down."",""Place the band on the ground in front of you and position your hands shoulder-width apart."",""Engage your core and slowly roll the wheel forward, extending your body as far as you can while maintaining control."",""Pause for a moment at the furthest point, then slowly roll the wheel back towards your knees to return to the starting position."",""Repeat for the desired number of repetitions.""}",971
band bench press,chest,band,https://v2.exercisedb.io/image/ccrIjt9dFYtqJI,pectorals,"{triceps,shoulders}","{""Lie flat on a bench with your feet flat on the ground and your back pressed against the bench."",""Grasp the band handles with an overhand grip, slightly wider than shoulder-width apart."",""Extend your arms fully, pushing the bands away from your chest."",""Slowly lower the bands back down to your chest, keeping your elbows at a 90-degree angle."",""Repeat for the desired number of repetitions.""}",1254
band bent-over hip extension,upper legs,band,https://v2.exercisedb.io/image/OCpTxEobPF9vbm,glutes,"{hamstrings,""lower back""}","{""Attach the band to a sturdy anchor point at ankle height."",""Stand facing away from the anchor point with your feet shoulder-width apart."",""Step back to create tension in the band, keeping your knees slightly bent."",""Hinge at the hips and lean forward, maintaining a neutral spine."",""Extend your right leg straight back, squeezing your glutes at the top."",""Lower your right leg back down and repeat with the left leg."",""Continue alternating legs for the desired number of repetitions.""}",980
band bicycle crunch,waist,band,https://v2.exercisedb.io/image/8lJtWTaEzMda0K,abs,"{""hip flexors"",obliques}","{""Lie flat on your back with your hands behind your head and your knees bent."",""Lift your feet off the ground and bring your right knee towards your chest while simultaneously twisting your torso to bring your left elbow towards your right knee."",""Straighten your right leg while bringing your left knee towards your chest and twisting your torso to bring your right elbow towards your left knee."",""Continue alternating the twisting motion, as if you are pedaling a bicycle, while keeping your core engaged throughout the movement."",""Repeat for the desired number of repetitions.""}",972
band close-grip pulldown,back,band,https://v2.exercisedb.io/image/pibiCdMu-ZHlaD,lats,"{biceps,forearms}","{""Attach the band to a high anchor point, such as a pull-up bar or sturdy beam."",""Stand facing the anchor point and grab the band with an underhand grip, hands shoulder-width apart."",""Step back to create tension in the band, keeping your feet hip-width apart."",""Engage your core and keep your back straight as you pull the band down towards your chest, squeezing your shoulder blades together."",""Pause for a moment at the bottom of the movement, then slowly release the band back to the starting position."",""Repeat for the desired number of repetitions.""}",974
band close-grip push-up,upper arms,band,https://v2.exercisedb.io/image/2oti60VjGzIkzX,triceps,"{chest,shoulders}","{""Place a band around your upper arms, just above the elbows."",""Assume a push-up position with your hands directly under your shoulders and your body in a straight line from head to heels."",""Bend your elbows and lower your chest towards the ground, keeping your elbows close to your sides."",""Push through your palms to extend your arms and return to the starting position."",""Repeat for the desired number of repetitions.""}",975
band concentration curl,upper arms,band,https://v2.exercisedb.io/image/1VWLsEqW2KUPDj,biceps,{forearms},"{""Sit on a bench or chair with your legs spread apart and your feet flat on the ground."",""Hold one end of the band in your hand and step on the other end with your foot on the same side."",""Lean forward slightly and rest your elbow on the inside of your thigh, just above the knee."",""With your palm facing up, slowly curl your hand towards your shoulder, keeping your upper arm stationary."",""Pause for a moment at the top, then slowly lower your hand back down to the starting position."",""Repeat for the desired number of repetitions, then switch sides.""}",976
band fixed back close grip pulldown,back,band,https://v2.exercisedb.io/image/Fl-mwHnpFCDH3R,lats,"{biceps,forearms}","{""Attach the band to a fixed point above you, such as a pull-up bar or sturdy beam."",""Sit down on a bench or chair facing the band, with your feet flat on the ground and your knees bent."",""Grasp the band with a close grip, palms facing towards you."",""Keep your back straight and engage your core."",""Pull the band down towards your chest, squeezing your shoulder blades together."",""Pause for a moment at the bottom of the movement, feeling the contraction in your lats."",""Slowly release the band back to the starting position, maintaining control throughout the movement."",""Repeat for the desired number of repetitions.""}",3117
band fixed back underhand pulldown,back,band,https://v2.exercisedb.io/image/NwBkzsidotGCL4,lats,"{biceps,rhomboids,""rear deltoids""}","{""Attach the band to a sturdy anchor point above your head."",""Stand facing the anchor point with your feet shoulder-width apart."",""Grasp the band with an underhand grip, hands slightly wider than shoulder-width apart."",""Step back to create tension in the band, keeping your arms fully extended."",""Engage your core and squeeze your shoulder blades together."",""Pull the band down towards your chest, leading with your elbows."",""Pause for a moment at the bottom of the movement, feeling the contraction in your lats."",""Slowly release the tension in the band and return to the starting position."",""Repeat for the desired number of repetitions.""}",3116
band front lateral raise,shoulders,band,https://v2.exercisedb.io/image/SNZaxq1EcsROYf,delts,"{traps,""upper back""}","{""Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down."",""Keep your arms straight and lift the band up in front of you until your arms are parallel to the ground."",""Pause for a moment at the top, then slowly lower the band back down to the starting position."",""Repeat for the desired number of repetitions.""}",977
band front raise,shoulders,band,https://v2.exercisedb.io/image/QoU6FZWCeOPAZX,delts,"{triceps,""upper back""}","{""Stand with your feet shoulder-width apart and hold the band in front of your thighs with your palms facing down."",""Keep your arms straight and slowly raise them forward until they are parallel to the ground."",""Pause for a moment at the top, then slowly lower your arms back down to the starting position."",""Repeat for the desired number of repetitions.""}",978
band hip lift,upper legs,band,https://v2.exercisedb.io/image/IPWhYay807HWnI,glutes,"{hamstrings,quadriceps}","{""Lie on your back with your knees bent and feet flat on the ground."",""Place a resistance band just above your knees."",""Engage your glutes and core muscles."",""Press your heels into the ground and lift your hips off the floor, squeezing your glutes at the top."",""Pause for a moment at the top, then slowly lower your hips back down to the starting position."",""Repeat for the desired number of repetitions.""}",1408
band horizontal pallof press,waist,band,https://v2.exercisedb.io/image/m4cIpDlMiQEdKn,abs,"{obliques,glutes}","{""Attach the band to a sturdy anchor point at waist height."",""Stand perpendicular to the anchor point with your feet shoulder-width apart."",""Grasp the band handle with both hands and step away from the anchor point to create tension in the band."",""Bring your hands to your chest, keeping your elbows bent and close to your body."",""Engage your core and maintain a stable stance."",""Extend your arms straight out in front of you, pushing the band away from your body."",""Hold the extended position for a few seconds, focusing on maintaining tension in your core."",""Slowly bring your hands back to your chest, resisting the pull of the band."",""Repeat for the desired number of repetitions.""}",979
band jack knife sit-up,waist,band,https://v2.exercisedb.io/image/X2aXoTZa4NgFez,abs,"{""hip flexors""}","{""Lie flat on your back with your legs straight and your arms extended overhead, holding the band."",""Engage your abs and lift your legs and upper body simultaneously, bringing your hands towards your feet."",""Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position."",""Repeat for the desired number of repetitions.""}",981
band kneeling one arm pulldown,back,band,https://v2.exercisedb.io/image/YE5F-9y2Y5OBbw,lats,"{biceps,rhomboids}","{""Attach the band to a sturdy anchor point above your head."",""Kneel down and hold the band with one hand, palm facing down."",""Extend your arm fully overhead, keeping your elbow slightly bent."",""Engage your lat muscles and pull the band down towards your side, bringing your elbow towards your ribcage."",""Pause for a moment at the bottom, then slowly release the tension and return to the starting position."",""Repeat for the desired number of repetitions, then switch sides.""}",983
band kneeling twisting crunch,waist,band,https://v2.exercisedb.io/image/737m9SAj-TnawJ,abs,{obliques},"{""Attach the band to a sturdy anchor point at waist height."",""Kneel down facing away from the anchor point and hold the band with both hands, keeping your elbows bent and close to your sides."",""Engage your abs and slowly twist your torso to one side, bringing your hands towards your opposite hip."",""Pause for a moment, then slowly return to the starting position."",""Repeat on the other side."",""Continue alternating sides for the desired number of repetitions.""}",985
band lying hip internal rotation,upper legs,band,https://v2.exercisedb.io/image/d4GEZSQNd5k7JJ,glutes,"{hamstrings,quadriceps}","{""Lie on your back with your legs straight and a resistance band looped around your feet."",""Bend your knees and bring them towards your chest, keeping your feet together."",""Slowly rotate your knees outwards, away from each other, while keeping your feet together."",""Pause for a moment at the end of the rotation, then slowly return to the starting position."",""Repeat for the desired number of repetitions.""}",984
band lying straight leg raise,waist,band,https://v2.exercisedb.io/image/2Xnoff2BjLshnW,abs,"{""hip flexors""}","{""Lie flat on your back with your legs straight and your feet together."",""Place the band around the arches of your feet and hold the ends of the band with your hands."",""Engaging your abs, lift both legs off the ground until they are perpendicular to the floor."",""Pause for a moment at the top, then slowly lower your legs back down to the starting position."",""Repeat for the desired number of repetitions.""}",1002
band one arm overhead biceps curl,upper arms,band,https://v2.exercisedb.io/image/vDy0zisjlYkq0L,biceps,"{forearms,shoulders}","{""Stand with your feet shoulder-width apart and place one end of the band under your foot."",""Hold the other end of the band with your arm fully extended overhead, palm facing forward."",""Keeping your upper arm stationary, curl your forearm towards your shoulder, squeezing your biceps."",""Pause for a moment at the top, then slowly lower your forearm back to the starting position."",""Repeat for the desired number of repetitions, then switch arms.""}",986
band one arm single leg split squat,upper legs,band,https://v2.exercisedb.io/image/sBvRgFNb9QGW86,quads,"{glutes,hamstrings}","{""Stand with your feet hip-width apart and place a resistance band around your ankles."",""Extend one leg forward and rest the top of your foot on a bench or step behind you."",""Hold onto a support with one hand for balance."",""Bend your standing leg and lower your body down into a squat position, keeping your knee in line with your toes."",""Push through your heel to return to the starting position."",""Repeat for the desired number of repetitions, then switch legs.""}",987
